Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.22     0.00     3722     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_Temporary_value::~_Temporary_value()
  0.00      1.22     0.00     3722     0.00     0.00  unsigned int* std::__uninitialized_move_a<unsigned int*, unsigned int*, std::allocator<unsigned int> >(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      1.22     0.00     3722     0.00     0.00  void std::fill<unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int const&)
  0.00      1.22     0.00     3630     0.00     0.00  operator-(BigInteger const&, BigInteger const&)
  0.00      1.22     0.00     3622     0.00     0.00  normalize(unsigned int)
  0.00      1.22     0.00     3622     0.00     0.00  operator/(BigInteger const&, unsigned int)
  0.00      1.22     0.00     3458     0.00     0.00  BigInteger::sub_abs(BigInteger const&, BigInteger const&)
  0.00      1.22     0.00     1663     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      1.22     0.00     1216     0.00     0.00  Catch::StringRef::StringRef(char const*, unsigned long)
  0.00      1.22     0.00     1136     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      1.22     0.00     1136     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      1.22     0.00      898     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      1.22     0.00      898     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      1.22     0.00      898     0.00     0.00  std::__ptr_traits_ptr_to<char const*, char const, false>::pointer_to(char const&)
  0.00      1.22     0.00      781     0.00     0.00  std::__ptr_traits_ptr_to<char*, char, false>::pointer_to(char&)
  0.00      1.22     0.00      781     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      1.22     0.00      726     0.00     0.00  Catch::operator"" _sr(char const*, unsigned long)
  0.00      1.22     0.00      676     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      1.22     0.00      597     0.00     0.16  operator/(BigInteger const&, BigInteger const&)
  0.00      1.22     0.00      563     0.00     0.00  BigInteger::add_abs(BigInteger const&, unsigned int)
  0.00      1.22     0.00      563     0.00     0.00  operator+(BigInteger const&, int)
  0.00      1.22     0.00      561     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::capacity() const
  0.00      1.22     0.00      492     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
  0.00      1.22     0.00      490     0.00     0.00  operator"" _catch_sr(char const*, unsigned long)
  0.00      1.22     0.00      480     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char const*, char const*)
