Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.83     0.00    47997     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      0.83     0.00    46017     0.00     0.00  unsigned int* std::vector<unsigned int, std::allocator<unsigned int> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > > >(unsigned long, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >)
  0.00      0.83     0.00    43556     0.00     0.01  operator*(BigInteger, BigInteger const&)
  0.00      0.83     0.00    41255     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      0.83     0.00    39908     0.00     0.01  BigInteger::operator*=(BigInteger const&)
  0.00      0.83     0.00    13305     0.00     0.00  unsigned int&& std::forward<unsigned int>(std::remove_reference<unsigned int>::type&)
  0.00      0.83     0.00    11466     0.00     0.00  unsigned int const& std::forward<unsigned int const&>(std::remove_reference<unsigned int const&>::type&)
  0.00      0.83     0.00    10110     0.00     0.00  unsigned int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int, unsigned int>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.83     0.00    10110     0.00     0.00  unsigned int* std::__copy_move_a<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.83     0.00    10110     0.00     0.00  unsigned int* std::__copy_move_a1<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.83     0.00    10110     0.00     0.00  unsigned int* std::__copy_move_a2<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.83     0.00    10110     0.00     0.00  unsigned int* std::copy<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.83     0.00     9874     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.83     0.00     9789     0.00     0.00  operator==(BigInteger const&, BigInteger const&)
  0.00      0.83     0.00     7861     0.00     0.00  operator<(BigInteger const&, BigInteger const&)
  0.00      0.83     0.00     7444     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_Temporary_value::_M_ptr()
  0.00      0.83     0.00     7444     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
  0.00      0.83     0.00     7444     0.00     0.00  std::move_iterator<unsigned int*> std::make_move_iterator<unsigned int*>(unsigned int*)
  0.00      0.83     0.00     7244     0.00     0.00  BigInteger::count_leading_zeros(unsigned int)
  0.00      0.83     0.00     5819     0.00     0.00  operator!=(BigInteger const&, BigInteger const&)
  0.00      0.83     0.00     5055     0.00     0.00  unsigned int* std::__uninitialized_copy<true>::__uninit_copy<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.83     0.00     5055     0.00     0.00  unsigned int* std::uninitialized_copy<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.83     0.00     5055     0.00     0.00  unsigned int* std::__uninitialized_copy_a<unsigned int*, unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      0.83     0.00     4785     0.00     0.00  void std::__copy_move<false, false, std::random_access_iterator_tag>::__assign_one<unsigned int, unsigned int>(unsigned int*, unsigned int*)
  0.00      0.83     0.00     4435     0.00     0.00  unsigned int& std::vector<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>(unsigned int&&)
  0.00      0.83     0.00     4435     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int&&)
  0.00      0.83     0.00     4435     0.00     0.00  decltype (::new ((void*)(0)) unsigned int((declval<unsigned int>)())) std::construct_at<unsigned int, unsigned int>(unsigned int*, unsigned int&&)
  0.00      0.83     0.00     3822     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::difference_type __gnu_cxx::operator-<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      0.83     0.00     3822     0.00     0.00  decltype (::new ((void*)(0)) unsigned int((declval<unsigned int const&>)())) std::construct_at<unsigned int, unsigned int const&>(unsigned int*, unsigned int const&)
  0.00      0.83     0.00     3757     0.00     0.00  left_shift(BigInteger, unsigned long)
  0.00      0.83     0.00     3722     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_Temporary_value::_M_val()
